correct_answer;question;wrong_answer
Francia;"Nella seconda guerra d'indipendenza, il Piemonte era alleato di:";Austria|Portogallo|Prussia
"Cesare Balbo";"Nel 1844 fu pubblicata Delle speranze d'Italia, opera fondamentale del pensiero moderato, di cui fu autore:";"Giuseppe Garibaldi|Giuseppe Mazzini|Vincenzo Gioberti"
"i garibaldini sconfissero le truppe borboniche";"Nella battaglia del Volturno del 1860:";"gli austriaci sconfissero i russi|i piemontesi sconfissero gli austriaci|le truppe francesi sconfissero i piemontesi"
"Carlo Cattaneo";"Quale dei seguenti personaggi fu protagonista delle cinque giornate di Milano del marzo 1848? ";"Francesco Giuseppe|Giuseppe Garibaldi|Pio IX"
Calabria;"In quale Regione i fratelli Bandiera tentarono una spedizione per sollevare la popolazione contadina nel 1844?";Emilia-Romagna|Liguria|Toscana
"Camillo Benso conte di Cavour e Napoleone III";"Quali personaggi si incontrarono in segreto a Plombières nel 1858?";"Carlo Alberto e papa Pio IX|Carlo Cattaneo e Carlo Pisacane|Giuseppe Mazzini e Giuseppe Garibaldi"
"Camillo Benso conte di Cavour";"Chi fu uno tra i principali artefici dell'Unità italiana e ricoprì diverse cariche politiche nel Regno sabaudo? ";"Carlo Cattaneo|Francesco Crispi|Giuseppe Mazzini"
"Giuseppe Mazzini";"Quale dei seguenti personaggi storici fu uno dei protagonisti della Repubblica romana del 1849?";"Francesco Giuseppe|Pio VII|Simon Bolivar"
"Regno di Sardegna";"Carlo Alberto fu re del:";"Granducato di Toscana|Regno delle Due Sicilie|Regno d'Italia"
Mameli;"L'autore di Fratelli d'Italia fu:";Garibaldi|Guerrazzi|Pellico
"nessuno degli Stati menzionati nelle altre alternative";"Nella prima guerra d'indipendenza, il Piemonte era alleato di:";Austria|Francia|Spagna
"sconfitte italiane";"Nell'ambito della terza guerra d'indipendenza, le battaglie di Lissa e Custoza sono ricordate come:";"sconfitte francesi|sconfitte russe|vittorie italiane"
"Vittorio Emanuele II";"Nel 1849 Carlo Alberto abdicò in favore di:";"Umberto I|Umberto II|Vittorio Emanuele I"
"la decadenza del potere temporale del Papa e la Repubblica";"Dopo la fuga di Pio IX, nel febbraio 1849, a Roma venne convocata una costituente che proclamò: ";"la monarchia costituzionale con a capo Aurelio Saffi|la nascita dello Stato del Vaticano, con il rientro del Papa fuggito a Gaeta|l'annessione di Roma al Regno sabaudo"
"Regno di Sardegna";"Carlo Alberto era sovrano del:";"Ducato di Milano|Granducato di Toscana|Regno delle Due Sicilie"
"Il neoguelfismo";"Quale corrente sosteneva che il Papa dovesse essere la forza di unificazione dell'Italia?";"I sostenitori di Carlo Alberto|Il neoghibellinismo|La corrente democratica mazziniana"
Torino;"In quale città nacque Camillo Benso conte di Cavour?";Napoli|Roma|Venezia
"inviò uomini per preparare l'annessione dell'isola al Piemonte";"Dopo i successi dei garibaldini in Sicilia, Camillo Benso conte di Cavour:";"chiese a Napoleone III di intervenire nell'isola|stipulò un accordo con il Papa per assicurare ai Savoia il dominio fino allo Stato della Chiesa|strinse un'alleanza con l'Austria per rafforzarsi nell'Italia settentrionale"
liberatore;"Il 7 settembre 1860 Giuseppe Garibaldi, entrato a Napoli, fu accolto come un:";brigante|conquistatore|traditore
Nizza;"In quale città nacque Giuseppe Garibaldi?";Napoli|Roma|Sassari
Roma;"Con la breccia di Porta Pia, il 20 settembre 1870, le truppe italiane entrarono a:";Gaeta|Milano|Torino
"Carlo Alberto";"Quale dei seguenti sovrani di casa Savoia rinunciò al trono?";"Umberto I|Vittorio Emanuele II|Vittorio Emanuele III"
"Le represse";"Come reagì Garibaldi di fronte alle insurrezioni contadine che scoppiarono nel Meridione d'Italia, contemporaneamente alla sua spedizione di liberazione? ";"Appoggiò i contadini|Restò indifferente|Tentò di trasformare le insurrezioni in rivoluzione"
"un completo fallimento";"L'insurrezione di Milano, organizzata da Mazzini il 6 febbraio 1853, fu:";"l'inizio della sollevazione di tutto il Lombardo-Veneto|l'inizio dell'alleanza con Cavour|una strepitosa vittoria"
dall'Austria;"Durante il Risorgimento, le aspirazioni all'Unità e all'indipendenza italiane furono in primo luogo osteggiate: ";"dalla Prussia|dalla Russia|dalla Spagna"
Marsala;"In quale città sbarcarono i Mille guidati da Garibaldi nel 1860?";Napoli|Quarto|Teano
"Invase lo Stato pontificio";"Cosa fece il Piemonte nel 1860, dopo la vittoria di Garibaldi nel Sud Italia?";"Convocò una conferenza internazionale per la proclamazione dell'Unità d'Italia|Dichiarò guerra alla Francia|Dichiarò guerra alla Gran Bretagna"
"Il Partito d'Azione";"Nel 1853 Mazzini fondò a Ginevra una nuova formazione politica. Quale?";"Giustizia e Libertà|Il Partito Popolare|La Società Nazionale"
Firenze;"Nel 1864, la capitale d'Italia venne spostata da Torino a:";Milano|Napoli|Roma
"America Latina";"Giuseppe Garibaldi, dopo il fallimento dei moti di Genova del 1834, emigrò in:";Africa|Asia|Australia
"Di fucilare e arrestare i contadini che si erano ribellati";"Che cosa ordinò Nino Bixio, uno dei capi dell'impresa dei Mille, a Bronte, il 4 agosto 1860?";"Di aspettare le truppe piemontesi|Di distribuire la terra ai contadini|Di procedere alla conquista della Calabria"
"Giuseppe Garibaldi";"A chi venne affidato il comando delle truppe della Repubblica romana del 1849?";"Carlo Pisacane|Giuseppe Mazzini|Goffredo Mameli"
"Regno di Sardegna";"Quale dei seguenti Stati italiani preunitari partecipò, nel 1855, alla guerra di Crimea?";"Granducato di Toscana|Regno delle Due Sicilie|Stato della Chiesa"
"la creazione di uno Stato italiano unito, indipendente, repubblicano";"Secondo il progetto politico di Giuseppe Mazzini, scopo della lotta dei patrioti italiani doveva essere:";"la creazione di una confederazione di Stati con a capo il pontefice|la creazione di una federazione di Stati con a capo il Regno Sabaudo|la creazione di una federazione monarchica di Stati europei legati all'Impero"
"i Mille di Garibaldi sconfissero i Borboni";"Nel 1860, nella città di Calatafimi:";"Carlo Pisacane fu ucciso|Giuseppe Garibaldi incontrò il re|Giuseppe Mazzini fondò la Giovine Europa"
"Giovine Italia";"Come si chiamava il movimento fondato da Giuseppe Mazzini durante il Risorgimento?";"Carboneria|Massoneria|Ordine Nuovo"
Carboneria;"A quale delle seguenti società segrete era iscritto Giuseppe Mazzini?";"Esercito di luce|Maestri del re|Massoneria"
"Il dibattito politico-culturale in merito alla ricerca di una soluzione al divario economico-sociale tra il Nord e il Sud della penisola";"Cosa si intende, nel periodo post-unitario della storia d'Italia, per questione meridionale?";"I contrasti tra Garibaldi e i rivoluzionari meridionali|I contrasti tra realisti meridionali e Stato pontificio|I problemi legati alla conquista della Sicilia"
"ministro dell'Agricoltura e del Commercio dello Stato sabaudo";"Nel 1850, Camillo Benso conte di Cavour divenne:";"alleato dei garibaldini|capo indiscusso della corrente mazziniana|sovrano dello Stato sabaudo"
"Il Partito d'Azione a cui si era avvicinato anche Giuseppe Garibaldi";"Nel 1859, dopo gli scontri armati nell'Italia centro-settentrionale, chi assunse l'iniziativa nel Sud del Paese?";"Camillo Benso conte di Cavour e Casa Savoia|I fratelli Bandiera|Napoleone III e l'esercito francese"
"Nel 1815";"In quale anno, in Italia come nel resto d'Europa, si fa cadere l'inizio della Restaurazione?";"Nel 1801|Nel 1820|Nel 1830"
"presidente del Consiglio";"Uno dei massimi artefici dell'Unità d'Italia, il conte di Cavour, nello Stato sabaudo rivestiva la carica di: ";"capo delle Forze Armate|ministro degli Esteri|ministro degli Interni"
"di un fallito moto insurrezionale che gli costò la vita nel 1831";"Il modenese Ciro Menotti fu protagonista:";"della guerra di secessione americana|della spedizione in Egitto di Napoleone|della trasvolata in dirigibile del Polo Sud"
Teano;"In quale località si svolse l'incontro in cui Garibaldi offrì a Vittorio Emanuele II i territori del Sud Italia da lui conquistati? ";Cassino|Napoli|Roma
Teano;"In quale località si svolse l'incontro in cui Garibaldi consegnò a Vittorio Emanuele II il Regno delle Due Sicilie? ";Cassino|Napoli|Roma
"Conquistare il Regno delle Due Sicilie e annetterlo alla monarchia sabauda";"Qual era lo scopo della spedizione garibaldina dei Mille?";"Appoggiare le masse contadine insorte contro il dominio dei latifondisti|Consolidare il dominio dei Borboni nel Mezzogiorno|Ripristinare la Costituzione del 1848 nel Regno delle Due Sicilie"
Pastrengo;"Quale delle seguenti battaglie fu una vittoria piemontese nella prima guerra d'indipendenza italiana?";Cernaia|Peschiera|Ticino
Tre;"Quante sono state le guerre d'indipendenza italiane?";Cinque|Due|Una
Magenta;"Quale delle seguenti città fu teatro di una battaglia, nella seconda guerra d'indipendenza italiana?";"Lissa|Milano|Reggio Emilia"
Quarto;"La spedizione dei Mille partì da:";"Marsala|Sestri Levante|Venezia"
"prima guerra d'indipendenza";"Nel Risorgimento italiano, il re piemontese Carlo Alberto abdicò a favore del figlio Vittorio Emanuele. L'episodio si verificò al termine della: ";"guerra di Crimea|seconda guerra d'indipendenza|terza guerra d'indipendenza"
"Giuseppe Mazzini";"Come si chiamava il fondatore della ""Giovine Italia"", associazione politica fondata nel 1831?";"Giulio Mazarino|Silvio Pellico|Vincenzo Gioberti"
Radetzky;"Durante la sollevazione popolare del 1848 delle cinque giornate di Milano, il comandante delle truppe austriache si chiamava: ";Ludendorff|Metternich|Pilsudsky
"Vittorio Emanuele II";"Il primo re d'Italia fu:";"Umberto I|Umberto II|Vittorio Emanuele III"
Diciannovesimo;"In quale secolo nacque Camillo Benso conte di Cavour?";Sedicesimo|Tredicesimo|Ventesimo
1848-49;"Quando venne combattuta la prima guerra d'indipendenza italiana?";1820-21|1915-18|1940-45
"Presidente del Consiglio";"Camillo Benso conte di Cavour, nello Stato sabaudo rivestiva la carica di:";"Ammiraglio|Capo delle Forze Armate|Re"
"Germania e Austria-Ungheria";"Nel 1882, l'Italia partecipò alla triplice Alleanza con:";"Francia e Inghilterra|Spagna e Portogallo|Svizzera e Lussemburgo"
"Agostino Depretis";"Quale leader della Sinistra storica fu capo del governo quasi ininterrottamente per dieci anni dal 1876? ";"Benito Mussolini|Giovanni Giolitti|Quintino Sella"
"dalla ""Destra storica""";"Dal 1861 al 1876 l'Italia fu governata:";"dal ""centrosinistra""|dal ""pentapartito""|dalla ""Sinistra storica"""
"All'entrata dell'esercito italiano in Roma nel 1870";"A cosa ci si riferisce con l'espressione ""Breccia di Porta Pia""?";"Alla marcia che portò al potere Mussolini nel 1922|All'ingresso delle truppe napoleoniche in Roma|All'occupazione nazista di Roma alla fine della seconda guerra mondiale"
"Goffredo Mameli";"Le parole dell'inno nazionale italiano sono state scritte da:";"Giuseppe Mazzini|Michele Novaro|Silvio Pellico"
Borbone;"Prima dell'unità d'Italia, nel Regno delle due Sicilie regnava la dinastia:";Este|Savoia|Sforza
"La più importante società segreta del Risorgimento italiano";"Cosa si indica con il termine ""Carboneria""?";"Il sindacato dei minatori inglesi|Qualunque società di import-export di materiale combustibile|Un lega formata nell'Ottocento dai minatori bretoni"
"Giovine Italia";"La società segreta fondata da Giuseppe Mazzini nel 1831 prese il nome di:";"Carboneria|Massoneria|Società dei Raggi"
Quarto;"Da quale località partirono, diretti in Sicilia, un migliaio di garibaldini tra il 5 e il 6 maggio del 1860?";Livorno|Napoli|Venezia
"Giuseppe Garibaldi";"Quale tra i seguenti personaggi venne definito l'""eroe dei due mondi""?";"Cristoforo Colombo|Ferdinando Magellano|Napoleone Bonaparte"
Brescia;"Quale delle seguenti città, nel 1849, resistette per dieci giorni agli austriaci, meritando l'appellativo di leonessa d'Italia?";Brindisi|Milano|Modena
"la vittoria austriaca e l'abdicazione di Carlo Alberto di Savoia";"La prima guerra d'indipendenza italiana si concluse con:";"la concessione dell'autonomia amministrativa alle città di Milano e Venezia|l'annessione del Lombardo-Veneto al Regno di Sardegna|l'istituzione di un protettorato degli Asburgo sul Piemonte"
"Dai volontari di Garibaldi";"Nella seconda guerra di indipendenza, da chi era formato il corpo dei ""Cacciatori delle Alpi""?";"Dai Kaiserjäger austriaci|Dai tiratori scelti sabaudi|Dalle guardie forestali"
"La costruzione del muro di Berlino";"Quale avvenimento si colloca cronologicamente tra la nascita della Repubblica popolare cinese di Mao e la rivolta studentesca di Pechino, che chiedeva l'avvio di un processo di democratizzazione interna? ";"La caduta della Repubblica di Salò|L'annessione tedesca dell'Austria|L'era delle grandi purghe staliniane"
"A cavallo tra il XIX e il XX secolo";"In quale periodo visse Lenin?";"A cavallo tra il XVIII e il XIX secolo|Nel XVII secolo|Nel XXI secolo"
"Tra il XIX e il XX secolo";"In quale periodo visse Stalin?";"A cavallo tra il XVIII e il XIX secolo|Nel XVII secolo|Nel XXI secolo"
"Tra il XVII e il XVIII secolo";"In quale periodo visse Luigi XIV, detto re Sole?";"Nel XV secolo|Nel XVI secolo|Tra il XII e il XIII secolo"
"A cavallo tra il XIX e il XX secolo";"In quale periodo visse Gandhi?";"A cavallo tra il XVII e il XVIII secolo|Nel XVII secolo|Nell'ultimo quarto del XX secolo"
1867;"I garibaldini furono sconfitti a Mentana nel:";1817|1873|1881
"Tra il XIX e il XX secolo";"In quale periodo visse Juan Domingo Perón?";"Nel XV secolo|Nel XVII secolo|Nel XVIII secolo"
1844;"I fratelli Bandiera, al termine di una fallita insurrezione, furono giustiziati dalle truppe borboniche nel: ";1789|1802|1874
"Tra il XIX e il XX secolo";"In quale periodo visse Franklin Delano Roosevelt?";"Nel XV secolo|Nel XVI secolo|Tra il XVII e il XVIII secolo"
"Nel XIX secolo";"In quale periodo visse Karl Marx?";"Nel XVII secolo|Nel XVIII secolo|Nel XX secolo"
"Il Congresso di Vienna";"Quale avvenimento si colloca cronologicamente tra la Rivoluzione americana e i moti del 1848? ";"La pubblicazione delle novantacinque tesi di Martin Lutero|La rivolta contadina in Messico, capeggiata da Emiliano Zapata e Pancho Villa|L'Affaire Dreyfus"
"Nei decenni centrali del XX secolo";"A livello cronologico, quando si colloca l'attività politica di Mao Zedong?";"Negli ultimi decenni del XVIII secolo|Nella prima metà del XIX secolo|Nella seconda metà del XIX secolo"
"L'ascesa al potere di Napoleone";"Quale dei seguenti avvenimenti si colloca cronologicamente tra il trionfo dell'Illuminismo e i moti del 1820-1821? ";"La guerra dei trent'anni|La Riforma e la Controriforma|L'assolutismo di Luigi XIV"
"La guerra di Crimea";"Quale dei seguenti avvenimenti si colloca cronologicamente tra la Rivoluzione francese e l'indipendenza italiana?";"La Rivoluzione americana|La Rivoluzione inglese|L'avvento del Terzo Reich"
Walesa;"Quale dei seguenti personaggi politici ricoprì la carica di presidente della Polonia?";Eltsin|Gromiko|Lenin
1861;"Camillo Benso conte di Cavour morì nel:";1859|1866|1890
1848;"Le Cinque giornate di Milano avvennero nel:";1803|1827|1895
"Toro seduto";"Quale dei seguenti personaggi fu un importante capo pellerossa?";"Buffalo Bill|Porsenna|Tiger Jack"
"Metà Novecento";"In quale periodo si colloca la fondazione dello Stato di Israele?";"Fine Novecento|Fine Ottocento|Fine Settecento"
Monroe;"Quale dei seguenti personaggi fu presidente degli USA nel XIX secolo?";Balzac|Bismarck|Voltaire
"Nel 1852";"In quale anno Cavour diede vita al suo primo governo nel Regno di Sardegna?";"Nel 1822|Nel 1862|Nel 1872"
"Nel 1831";"In quale anno si verificò a Modena un tentativo insurrezionale capeggiato da Ciro Menotti?";"Nel 1799|Nel 1891|Nel 1921"
XX;"La guerra civile spagnola, al cui termine si instaurò la dittatura franchista, si svolse nel";X|XIX|XV
"Florence Nightingale";"Quale dei seguenti personaggi fu l'infermiera che si adoperò perché si creasse un'organizzazione internazionale di soccorso per i soldati in guerra?";"Anita Garibaldi|Giuseppina Bonaparte|Madame Bovary"
"Carlo Cattaneo";"Quale dei seguenti personaggi fu un protagonista del Risorgimento italiano?";"Alessandro Manzoni|Papa Gregorio XIII|Voltaire"
Kennedy;"Quale dei seguenti personaggi ricoprì la carica di presidente degli Stati Uniti d'America?";Armstrong|Einstein|Kissinger
XV;"Girolamo Savonarola visse nel secolo:";XIII|XVIII|XX
XVIII;"Federico II il Grande, re di Prussia, morì nel secolo:";X|XIV|XX
"Nel XIX secolo";"In quale secolo nacque Karl Marx?";"Nel XV secolo|Nel XVII secolo|Nel XX secolo"
Gorbaciov;"Quale tra i seguenti personaggi politici fu un leader dell'URSS?";Brandt|Castro|Milosevic
Cavour;"Quale dei seguenti personaggi italiani fu un uomo politico?";Hayez|Leopardi|Verdi
"VII d.C.";"La conquista araba dell'Egitto si compì nel secolo:";"III a.C.|X a.C.|XV d.C."
1892;"Giovanni Giolitti guidò il suo primo governo nel:";1802|1859|1907
"Tra il XIX e il XX secolo";"In quale periodo visse Alcide De Gasperi?";"Nel XIII secolo|Nel XVII secolo|Tra il XV e il XVI secolo"
1943;"L'insurrezione del ghetto di Varsavia si verificò nel:";1929|1938|1951
"Tra il XIX e il XX secolo";"In quale periodo visse Charles De Gaulle?";"Nel XIII secolo|Nel XVII secolo|Tra il XV e il XVI secolo"
"Tra il XIX e il XX secolo";"In quale periodo visse papa Giovanni XXIII?";"Nel XV secolo|Nel XVII secolo|Tra il XII e il XIII secolo"
"Primo Cinquecento";"In quale periodo visse Martin Lutero?";"Inizio Duecento|Metà Ottocento|Tardo Settecento"
"Ho Chi Minh";"Quale dei seguenti personaggi del XX secolo fu un leader politico?";Dalì|Mann|Ravel
Mandela;"Quale dei seguenti personaggi politici ricoprì la carica di presidente del Sud Africa?";Gheddafi|Mobutu|Rabin
Washington;"Quale dei seguenti personaggi ricoprì la carica di presidente degli Stati Uniti d'America?";Franklin|Lafayette|Melville
"prima guerra di indipendenza italiana";"La battaglia di Goito si combattè nel corso della: ";"guerra del Vietnam|prima guerra mondiale|seconda guerra mondiale"
1852;"Napoleone III restaurò l'impero in Francia nel:";1800|1870|1912
"Nel 1769";"In quale anno venne costruita la macchina a vapore da James Watt?";"Nel 1709|Nel 1807|Nel 1870"
"Nel XII secolo";"In quale periodo visse Federico I, detto Barbarossa?";"Nel IX secolo|Nel XV secolo|Nel XVI secolo"
"Nel 1849";"In quale anno abdicò Carlo Alberto di Savoia-Carignano?";"Nel 1821|Nel 1861|Nel 1878"
1849;"Mazzini fu protagonista dell'esperienza della Repubblica romana nel:";1786|1878|1898
1887;"Francesco Crispi guidò il suo primo governo nel:";1847|1917|1954
"Nel I a. C. secolo";"In quale secolo visse Giulio Cesare?";"Nel I d. C. secolo|Nel II a. C. secolo|Nel II d. C. secolo"
Castro;"Quale dei seguenti personaggi politici è di nazionalità cubana?";Alfonsín|Bolivar|Pinochet
"un papa";"Bonifacio VIII fu:";"un imperatore francese|un re della dinastia dei Borboni|un re della dinastia dei Tudor"
XVI;"Copernico morì nel secolo:";I|IX|XIX
Kruscev;"Quale tra i seguenti personaggi politici fu un leader dell'URSS?";Ceausescu|Havel|Kasparov
"Vincenzo Gioberti";"Quale dei seguenti personaggi fu il piemontese autore de ""Il primato morale e civile degli Italiani"", importante testo risorgimentale pubblicato nel 1843? ";"Giuseppe Ferrari|Giuseppe Garibaldi|Giuseppe Mazzini"
"Pio IX";"Quale pontefice accese le speranze dei patrioti e dei riformisti italiani, nel biennio 1847-48?";"Bonifacio VIII|Giovanni XXIII|Leone XIII"
"Charles Darwin";"Quale, tra i seguenti personaggi, fu il naturalista che rivoluzionò la teoria dell'evoluzione?";"Alessandro Volta|Benjamin Franklin|Fryderyk Chopin"
"Il Portogallo";"Quale Nazione europea conquistò nell'anno 1500, il Brasile?";"La Francia|La Svezia|L'Inghilterra"
"Nel 1806";"In quale anno Napoleone Bonaparte decretò il blocco continentale in funzione anti-inglese?";"Nel 1776|Nel 1861|Nel 1898"
"Nel 1793";"In quale anno, durante la Rivoluzione francese, iniziò il periodo del Terrore?";"Nel 1757|Nel 1788|Nel 1807"
"Giuseppe Mazzini";"Quale dei seguenti personaggi fondò ""La giovine Europa""?";"Francesco Crispi|Gabriele D'Annunzio|Giovanni Giolitti"
"Nel 1857";"Un grande successo dell'azione politica di Cavour fu la nascita della Società nazionale. In quale anno fu creata?";"Nel 1827|Nel 1877|Nel 1887"
"durante il XIX secolo";"Giuseppe Mazzini visse:";"a cavallo fra il XIX e il XX secolo|durante il XX secolo|tra il 1730 e il 1799"
"I a. C.";"Catone l'Uticense visse nel secolo:";"I d. C.|II d. C.|III a. C."
"Nel I a. C. secolo";"In quale secolo si svolse la maggior parte della vita dell'imperatore Ottaviano Augusto?";"Nel I d. C. secolo|Nel II a. C. secolo|Nel II d. C. secolo"
"Nel I a. C. secolo";"In quale secolo si svolse la maggior parte della vita di Pompeo?";"Nel I d. C. secolo|Nel II a. C. secolo|Nel II d. C. secolo"
"A cavallo tra il secolo I a. C. e il secolo I d. C.";"In quale epoca visse l'imperatore Tiberio?";"Nel secolo I a. C.|Nel secolo III d. C.|Non ci sono dati certi al riguardo"
"A cavallo tra il secondo e il terzo secolo d. C.";"In quale epoca visse l'imperatore Caracalla?";"A cavallo tra il quarto e il terzo secolo a. C.|Nel primo secolo a. C.|Nel primo secolo d. C."
"Nel secondo secolo d. C.";"In quale epoca visse l'imperatore Marco Aurelio?";"A cavallo tra il primo secolo a. C. e il primo secolo d. C.|Nel primo secolo a. C.|Nel quinto secolo d. C."
"A cavallo tra il terzo e il secondo secolo a. C.";"In quale epoca visse Scipione l'Africano?";"A cavallo tra il secondo e il terzo secolo d. C.|Nel primo secolo a. C.|Nel primo secolo d. C."
"Nel quinto secolo d. C.";"In quale epoca visse l'imperatore Valentiniano III?";"Nel primo secolo a. C.|Nel primo secolo d. C.|Nel secondo secolo a. C."
"Nel quarto secolo d. C.";"In quale epoca visse l'imperatore Teodosio?";"Nel primo secolo a. C.|Nel primo secolo d. C.|Non si hanno notizie precise"
"Il Congresso di Vienna";"Quale dei seguenti eventi precede l'Unità d'Italia?";"Il Patto d'Acciaio italo-tedesco|La firma dei Patti Lateranensi|La rivolta dei Boxer in Cina"
"Nel IV secolo a.C., ed ebbe come maestro il filosofo Aristotele";"In quale periodo visse e operò Alessandro Magno?";"Nel secolo XI, dopo Carlo Magno|Nel V secolo d.C. a Roma|Nel XVII secolo, subito dopo la morte di Luigi XIV (il Re Sole)"
"La liberazione del leader dell'African National Congress Nelson Mandela";"Quale dei seguenti avvenimenti si colloca cronologicamente tra la primavera di Praga e la guerra civile in Jugoslavia? ";"La proclamazione della Comune di Parigi|L'entrata dell'esercito italiano a Roma, dalla breccia di Porta Pia|L'introduzione del suffragio universale in Italia"
"Von Bismarck";"Quale dei seguenti personaggi fu un importante cancelliere del Reich tedesco?";"Von Karajan|Wagner|Witte"
"dopo il 1920";"L'ultimo governo Giolitti fu varato:";"alla fine del XIX secolo|dopo il 1945|intorno al 1790"
"Primo Novecento";"In quale periodo si colloca la caduta dello Stato zarista?";"Primo Ottocento|Tardo Novecento|Tardo Settecento"
Roosevelt;"Quale dei seguenti personaggi ricoprì la carica di presidente degli Stati Uniti d'America?";"Hemingway|Mac Carthy|Marshall"
"La Rivoluzione francese";"Quale dei seguenti eventi precede l'Unità d'Italia?";"La dissoluzione dell'Impero austro-ungarico|La prima guerra mondiale|"
Lenin;"Quale dei seguenti personaggi fu un leader politico dell'URSS?";Dubcek|Pasternak|Tito
"Nel XX secolo";"In quale secolo si svolse la guerra fredda?";"Nel XIX secolo|Nel XV secolo|Nel XVII secolo"
"Prima guerra mondiale";"In quale guerra si combatté la battaglia del Piave?";"Seconda guerra di indipendenza italiana|Seconda guerra mondiale|Terza guerra di indipendenza italiana"
"Winston Churchill";"Quale dei seguenti personaggi ha ricoperto il ruolo di primo ministro britannico?";"Dwight Eisenhower|Franklin D. Roosvelt|Willy Brandt"
"terza guerra d'indipendenza italiana";"La battaglia di Custoza si combattè nel corso della:";"guerra dei trent'anni|prima guerra mondiale|seconda guerra mondiale"
"Charles Darwin";"La legge della selezione naturale venne enunciata, nella seconda metà dell'Ottocento, da:";"Auguste Comte|Herbert Spencer|Joseph Arthur de Gobineau"
XVI;"La Riforma protestante iniziò nel secolo:";X|XII|XIV
1882;"Giuseppe Garibaldi morì nel:";1862|1870|1899
"Vincenzo Gioberti";"Quale dei seguenti personaggi visse durante il Risorgimento?";"Benito Mussolini|Luigi Pirandello|Niccolò Machiavelli"
IX;"La conquista araba della Sicilia si compì nel secolo:";IV|XIV|XVI
Custer;"Quale dei seguenti personaggi del XIX secolo fu un famoso generale?";Constable|Dickens|Manzoni
"Sigmund Freud";"Quale dei seguenti personaggi fu fondamentale nella storia del pensiero del Novecento?";"Alexis de Tocqueville|Benjamin Franklin|Jean Jacques Rousseau"
Geronimo;"Quale tra i seguenti nativi americani fu un famoso capo indiano Apache?";"Alce Nero|Cavallo Pazzo|Nuvola Rossa"
"Goffredo Mameli";"Chi compose l'inno nazionale italiano?";"Gabriele D'Annunzio|Giacomo Puccini|Giuseppe Verdi"
"Agostino Depretis";"Quale dei seguenti personaggi fu, nella seconda metà dell'800, un importante politico della Sinistra storica italiana? ";"Camillo Cavour|Giovanni Pascoli|Sidney Sonnino"
"Vittorio Emanuele I";"Quale sovrano di casa Savoia abdicò nel 1821, per non dover accettare la Costituzione?";"Carlo Alberto|Carlo Felice|Vittorio Amedeo"
1789-1797;"George Washington fu presidente degli Stati Uniti d'America nel periodo:";1690-1732|1879-1897|1901-1914
"Thomas Alva Edison";"Chi fu l'inventore della lampadina?";"Alessandro Volta|Guglielmo Marconi|Henry Ford"
"George Marshall";"Quale dei seguenti personaggi ideò il piano di aiuti a favore dei Paesi europei devastati economicamente dalla seconda guerra mondiale?";"Mao Zedong|Theodore Roosevelt|Winston Churchill"
"Thomas Jefferson";"Quale tra i seguenti presidenti statunitensi è cronologicamente precedente ad Abraham Lincoln? ";"Franklin Delano Roosevelt|Harry Spencer Truman|Theodore Roosevelt"
XX;"In quale secolo si svolse la Rivoluzione cinese guidata da Mao Zedong?";IV|XIX|XVI
"XV secolo";"Ferdinando D'Aragona, il marito di Isabella di Castiglia, visse nel:";"V secolo|XII secolo|XVIII secolo"
"Pio XII";"Quale dei seguenti papi è posteriore a Bonifacio VIII?";"Bonifacio I|San Lino|San Pietro"
XV;"Gutenberg, l'inventore della stampa a caratteri mobili, visse nel secolo:";III|XI|XIX
"Nel XIX secolo";"In quale secolo si tenne il Concilio Vaticano I?";"Nel X secolo|Nel XIII secolo|Nel XVI secolo"
1871;"Il secondo impero tedesco fu proclamato nel:";1578|1652|1933
1933;"Hitler diventò cancelliere della Germania nel:";1919|1922|1939
Breznev;"Quale dei seguenti personaggi fu un leader politico dell'URSS?";Gorky|Pasternak|Sacharov
"XVII secolo";"Le guerre di religione, in Europa, si svolsero prevalentemente nel:";"V secolo|XII secolo|XX secolo"
1938;"L'annessione dell'Austria da parte della Germania (Anschluss) si verificò nel:";1915|1922|1953
"XVI secolo";"Ivan il Terribile, il primo che assunse il titolo di zar, visse nel:";"X secolo|XIII secolo|XX secolo"
"Nel 1848";"In quale anno ci furono sommosse e tentativi rivoluzionari in quasi tutta Europa?";"Nel 1798|Nel 1900|Nel 1923"
"Nel XVII secolo";"In quale secolo si svolse in Inghilterra la guerra delle due rose?";"Nel V secolo|Nel X secolo|Nel XX secolo"
Celti;"Nel X secolo, l'Europa fu sottoposta a una serie di invasioni. Quale tra i seguenti popoli NON fece parte degli invasori? ";Arabi|Danesi|Ungari
"Circa 300";"Quanti anni intercorrono tra la scoperta del continente americano e la Dichiarazione d'indipendenza degli Stati Uniti? ";"Circa 10|Circa 700|Circa 80"
"XIV secolo";"Una grandissima epidemia di peste nera colpì l'Europa a metà del:";"III secolo|VII secolo|XIX secolo"
"Accordo tra più società per mantenere e rinforzare una posizione dominante sul mercato";"Quale, tra le seguenti alternative, riporta il corretto significato del termine ""Trust"" (cartello)? ";"Gruppo di imprenditori coinvolti in uno stesso progetto|Gruppo di imprese governative|Gruppo di società di consulenza"
XVII;"In quale secolo si svolse in Europa la guerra dei trent'anni?";V|X|XV
